"filename","subject","date","time","tot_num_trials","tot_num_free","tot_num_fd","tot_num_fi","tot_forced_trials","events_before_center","events_before_center_fd","events_before_center_fi","events_before_center_tot","events_before_choice","events_before_choice_fd","events_before_choice_fi","events_before_choice_tot","events_during_to","events_during_to_fd","events_during_to_fi","events_during_to_tot"
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47783.txt","47783",2019-08-26,"13:48",73,53,11,9,20,164,33,26,223,62,5,21,88,468,37,115,620
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47785.txt","47785",2019-08-26,"13:48",85,60,12,13,25,63,4,17,84,36,24,28,88,806,150,164,1120
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47788.txt","47788",2019-08-26,"13:48",79,60,7,12,19,69,6,17,92,87,11,28,126,322,19,83,424
"./Ship3_Latin-square/2019-08-26_15h05m_Subject 47080.txt","47080",2019-08-26,"15:05",77,60,8,9,17,31,3,7,41,35,5,10,50,580,94,77,751
"./Ship3_Latin-square/2019-08-26_15h05m_Subject 47089.txt","47089",2019-08-26,"15:05",60,42,5,13,18,85,16,26,127,109,9,25,143,232,19,77,328
"./Ship3_Latin-square/2019-08-27_10h00m_Subject 47238.txt","47238",2019-08-27,"10:00",82,60,10,12,22,39,4,8,51,70,5,42,117,520,90,123,733
"./Ship3_Latin-square/2019-08-27_10h00m_Subject 47242.txt","47242",2019-08-27,"10:00",83,60,10,13,23,184,28,17,229,102,29,77,208,621,99,160,880
"./Ship3_Latin-square/2019-08-27_10h00m_Subject 47767.txt","47767",2019-08-27,"10:00",77,60,9,8,17,80,18,5,103,25,30,4,59,434,51,76,561
"./Ship3_Latin-square/2019-08-27_10h03m_Subject 46884.txt","46884",2019-08-27,"10:03",58,44,9,5,14,94,16,37,147,83,45,5,133,184,66,17,267
"./Ship3_Latin-square/2019-08-27_10h03m_Subject 47246.txt","47246",2019-08-27,"10:03",82,60,5,17,22,68,19,8,95,72,22,39,133,642,32,193,867
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 46900.txt","46900",2019-08-27,"11:13",77,59,9,9,18,78,31,15,124,290,160,109,559,543,64,135,742
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47076.txt","47076",2019-08-27,"11:13",83,60,14,9,23,47,12,6,65,67,22,22,111,541,102,96,739
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47082.txt","47082",2019-08-27,"11:13",81,60,9,12,21,104,11,6,121,35,12,22,69,449,51,105,605
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47226.txt","47226",2019-08-27,"11:13",86,60,11,15,26,100,21,11,132,46,15,26,87,374,47,138,559
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47227.txt","47227",2019-08-27,"11:13",82,60,10,12,22,50,8,8,66,23,14,22,59,573,93,136,802
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47250.txt","47250",2019-08-27,"11:13",78,60,10,8,18,55,3,4,62,39,10,15,64,612,96,92,800
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47646.txt","47646",2019-08-27,"11:13",84,59,11,14,25,65,9,9,83,65,22,25,112,550,84,160,794
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47795.txt","47795",2019-08-27,"11:13",86,60,11,15,26,89,11,8,108,55,13,36,104,430,61,195,686
"./Ship3_Latin-square/2019-08-27_11h17m_Subject 47229.txt","47229",2019-08-27,"11:17",82,60,8,14,22,43,5,3,51,119,19,22,160,881,152,188,1221
"./Ship3_Latin-square/2019-08-27_11h17m_Subject 47233.txt","47233",2019-08-27,"11:17",80,60,8,12,20,52,9,7,68,84,21,17,122,529,59,158,746
"./Ship3_Latin-square/2019-08-27_11h17m_Subject 47777.txt","47777",2019-08-27,"11:17",82,60,10,12,22,87,15,13,115,27,2,2,31,471,64,87,622
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 46880.txt","46880",2019-08-27,"12:30",51,37,11,3,14,187,35,9,231,48,77,9,134,252,92,13,357
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 46882.txt","46882",2019-08-27,"12:30",83,60,10,13,23,41,4,9,54,110,19,66,195,758,94,196,1048
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 46894.txt","46894",2019-08-27,"12:30",81,60,10,11,21,71,8,14,93,49,10,2,61,424,44,100,568
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47088.txt","47088",2019-08-27,"12:30",84,60,9,15,24,70,9,7,86,78,22,43,143,735,110,163,1008
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47228.txt","47228",2019-08-27,"12:30",81,60,11,10,21,80,10,8,98,43,9,7,59,407,49,82,538
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47243.txt","47243",2019-08-27,"12:30",82,58,16,8,24,108,25,9,142,185,56,23,264,537,79,107,723
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47249.txt","47249",2019-08-27,"12:30",79,60,6,13,19,93,6,11,110,93,26,26,145,495,50,138,683
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47639.txt","47639",2019-08-27,"12:30",81,60,14,7,21,49,5,6,60,39,21,19,79,457,54,76,587
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47758.txt","47758",2019-08-27,"12:30",83,60,10,13,23,64,8,7,79,34,5,23,62,1103,202,255,1560
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47759.txt","47759",2019-08-27,"12:30",84,60,3,21,24,45,6,7,58,108,8,39,155,500,15,221,736
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47776.txt","47776",2019-08-27,"12:30",82,60,11,11,22,38,2,4,44,100,37,29,166,577,51,158,786
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47799.txt","47799",2019-08-27,"12:30",82,60,6,16,22,107,10,51,168,101,10,45,156,553,60,137,750
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 46881.txt","46881",2019-08-27,"12:33",74,53,10,11,21,84,20,35,139,155,28,49,232,320,43,71,434
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47087.txt","47087",2019-08-27,"12:33",51,35,10,6,16,148,21,33,202,61,41,9,111,288,72,70,430
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47626.txt","47626",2019-08-27,"12:33",59,42,12,5,17,114,10,6,130,49,47,10,106,353,77,41,471
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47634.txt","47634",2019-08-27,"12:33",78,54,11,13,24,119,27,27,173,20,18,18,56,317,61,113,491
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47640.txt","47640",2019-08-27,"12:33",52,38,6,8,14,67,13,14,94,79,12,74,165,198,44,46,288
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47754.txt","47754",2019-08-27,"12:33",40,28,9,3,12,67,27,7,101,57,34,1,92,122,35,13,170
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47800.txt","47800",2019-08-27,"12:33",81,60,9,12,21,78,6,13,97,109,28,37,174,485,61,91,637
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46876.txt","46876",2019-08-27,"13:39",57,43,10,4,14,155,43,28,226,12,17,0,29,210,51,22,283
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46888.txt","46888",2019-08-27,"13:39",84,60,7,17,24,30,7,8,45,116,13,74,203,999,141,296,1436
