"filename","subject","date","time","avg_rxn_time_free","avg_choice_rxn_time_free"
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47758.txt","47758",2019-08-26,"12:35",254.7,161.783333333333
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47759.txt","47759",2019-08-26,"12:35",1975.37254901961,255.941176470588
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47776.txt","47776",2019-08-26,"12:35",255,337.983333333333
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47799.txt","47799",2019-08-26,"12:35",819.627118644068,440.593220338983
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 46888.txt","46888",2019-08-26,"13:44",138.683333333333,545.65
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 46892.txt","46892",2019-08-26,"13:44",524.65,270.533333333333
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 47097.txt","47097",2019-08-26,"13:44",575.9,458.566666666667
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 47099.txt","47099",2019-08-26,"13:44",585,341
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 46893.txt","46893",2019-08-26,"13:48",113.45,209.016666666667
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47638.txt","47638",2019-08-26,"13:48",1223.48214285714,371.928571428571
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47757.txt","47757",2019-08-26,"13:48",1358.81132075472,293.094339622641
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47769.txt","47769",2019-08-26,"13:48",153.983333333333,283.233333333333
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47771.txt","47771",2019-08-26,"13:48",337.05,201.366666666667
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47775.txt","47775",2019-08-26,"13:48",417.95,194.766666666667
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47781.txt","47781",2019-08-26,"13:48",419.016666666667,481.233333333333
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47782.txt","47782",2019-08-26,"13:48",240.8,110.816666666667
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47783.txt","47783",2019-08-26,"13:48",1433.69811320755,420.622641509434
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47785.txt","47785",2019-08-26,"13:48",439.35,233.066666666667
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47788.txt","47788",2019-08-26,"13:48",469.966666666667,222.116666666667
"./Ship3_Latin-square/2019-08-26_15h05m_Subject 47080.txt","47080",2019-08-26,"15:05",186.916666666667,182.15
"./Ship3_Latin-square/2019-08-26_15h05m_Subject 47089.txt","47089",2019-08-26,"15:05",2550.95238095238,443.166666666667
"./Ship3_Latin-square/2019-08-27_10h00m_Subject 47238.txt","47238",2019-08-27,"10:00",393.466666666667,228.383333333333
"./Ship3_Latin-square/2019-08-27_10h00m_Subject 47242.txt","47242",2019-08-27,"10:00",715.25,254.583333333333
"./Ship3_Latin-square/2019-08-27_10h00m_Subject 47767.txt","47767",2019-08-27,"10:00",482.55,331.75
"./Ship3_Latin-square/2019-08-27_10h03m_Subject 46884.txt","46884",2019-08-27,"10:03",2963.40909090909,484.704545454545
"./Ship3_Latin-square/2019-08-27_10h03m_Subject 47246.txt","47246",2019-08-27,"10:03",449.3,276.5
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 46900.txt","46900",2019-08-27,"11:13",499.881355932203,718.310344827586
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47076.txt","47076",2019-08-27,"11:13",395.816666666667,260.366666666667
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47082.txt","47082",2019-08-27,"11:13",1079.75,149.116666666667
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47226.txt","47226",2019-08-27,"11:13",640.933333333333,224.833333333333
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47227.txt","47227",2019-08-27,"11:13",369.85,117.333333333333
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47250.txt","47250",2019-08-27,"11:13",372.65,197.15
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47646.txt","47646",2019-08-27,"11:13",689.610169491525,401.796610169492
"./Ship3_Latin-square/2019-08-27_11h13m_Subject 47795.txt","47795",2019-08-27,"11:13",721.816666666667,280.4
"./Ship3_Latin-square/2019-08-27_11h17m_Subject 47229.txt","47229",2019-08-27,"11:17",182.25,328.5
"./Ship3_Latin-square/2019-08-27_11h17m_Subject 47233.txt","47233",2019-08-27,"11:17",418.05,287.883333333333
"./Ship3_Latin-square/2019-08-27_11h17m_Subject 47777.txt","47777",2019-08-27,"11:17",938.7,331.65
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 46880.txt","46880",2019-08-27,"12:30",3585.83783783784,306.540540540541
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 46882.txt","46882",2019-08-27,"12:30",370.333333333333,247.366666666667
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 46894.txt","46894",2019-08-27,"12:30",899.783333333333,275.066666666667
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47088.txt","47088",2019-08-27,"12:30",505.35,228.766666666667
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47228.txt","47228",2019-08-27,"12:30",861.733333333333,207.566666666667
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47243.txt","47243",2019-08-27,"12:30",524.603448275862,577.275862068965
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47249.txt","47249",2019-08-27,"12:30",550.65,182.883333333333
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47639.txt","47639",2019-08-27,"12:30",446.583333333333,223.55
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47758.txt","47758",2019-08-27,"12:30",218.6,160.4
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47759.txt","47759",2019-08-27,"12:30",433.933333333333,317.366666666667
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47776.txt","47776",2019-08-27,"12:30",261.033333333333,232.466666666667
"./Ship3_Latin-square/2019-08-27_12h30m_Subject 47799.txt","47799",2019-08-27,"12:30",617.783333333333,376.983333333333
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 46881.txt","46881",2019-08-27,"12:33",771.076923076923,579.230769230769
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47087.txt","47087",2019-08-27,"12:33",3991.51428571429,317.028571428571
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47626.txt","47626",2019-08-27,"12:33",2550.33333333333,272.119047619048
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47634.txt","47634",2019-08-27,"12:33",1140.05555555556,151.759259259259
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47640.txt","47640",2019-08-27,"12:33",1602.24324324324,515.972972972973
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47754.txt","47754",2019-08-27,"12:33",2682.32142857143,537.214285714286
"./Ship3_Latin-square/2019-08-27_12h33m_Subject 47800.txt","47800",2019-08-27,"12:33",624.483333333333,312.166666666667
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46876.txt","46876",2019-08-27,"13:39",2511.72093023256,167.53488372093
